,id,価格,車両名,メーカー,型式番号,モデル年,排気量,色,タイプ,走行距離,保証期間,初年度登録年月,次回車検,入荷日,在庫店舗,店舗在庫,備考
39,2100005814799,728000,HONDA レブル５００,HONDA,2BL-PC60,2020,500,マットグレー,アメリカン/クルーザー,11287,3,2020-07,2025-07-17,2023-08-20,静岡店,0120-37-8190,"['２０２０年モデル', 'ヘッドライトカウル・フォークブーツ・タコメーター装備!']"
40,2100005720656,298000,HONDA 【マル得】スーパーカブC125,HONDA,2BJ-JA48,2019,125,青,ネイキッド,28262,3ヶ月,-,-,2023-08-02,熊本店,0120-37-8190,['昔ながらのデザインと機能が魅力の人気の一台!']
41,2100005907613,878000,KAWASAKI ニンジャZX-25R,KAWASAKI,2BK-ZX250E,2022,250,黒,スポーツ/ツアラー,835,7,-,-,2023-09-04,岡山店,0120-37-8190,['レーサーレプリカたる存在感とカッコ良さを具現化させた4気筒レプリカ！スタイリッシュなメタリックスパークブラック!']
42,2100005684279,88000,SUZUKI Let's,SUZUKI,2BH-CA4AA,2015,50,銀,スクーター/ビッグスクーター,12508,3ヶ月,-,-,-,草加店,0120-37-8190,[]
43,2100005934114,858000,YAMAHA ボルト９５０Ｒ,YAMAHA,EBL-VN04J,2014,950,-,アメリカン/クルーザー,6762,1,2017-04,2024-04-12,-,GLOBO蘇我店,0120-37-8190,"['ＡＢＳ', 'ＣＯＢＲＡサイレンサー', '【マル得】']"
44,2100005922517,658000,YAMAHA Drag Star 400（ドラッグスター）エンジンガード装備／インジェクションモデル／VH02J型,YAMAHA,EBL-VH02J,2010,400,ブルー,アメリカン/クルーザー,30288,3ヶ月,2010-04,-,2023-11-06,上尾店,0120-37-8190,[]
45,2100004789739,2980000,KAWASAKI Z1000LTD,KAWASAKI,KZT00B,1979,1000,エボニー,ネイキッド,22331,1ヶ月,2021-10,2024-10-28,-,つくば絶版車館,029-721-8190,['B3']
46,2100005153393,328000,HONDA クロスカブ１１０,HONDA,2BJ-JA45,2018,110,カーキ,ネイキッド,3203,1,-,-,-,柏店,0120-37-8190,"['スポークモデル', 'モリワキメガホン装備', '☆★ダブルシートの二人乗り仕様！★☆']"
47,2100006049688,828000,HONDA CB1000R,HONDA,SC60,不明,1000,ホワイト,ネイキッド,5260,3ヶ月,2017-06,2024-06-04,-,上尾店,0120-37-8190,['／インジェクションモデル／逆輸入車モデル']
48,2100005667951,368000,HONDA 【スピード納車】FTR223,HONDA,BA-MC34,2005,223,青,オフロード/モタード,18561,3ヶ月,-,-,2023-07-23,那覇店,0120-37-8190,['人気のシングルストリート☆']
49,2100005168779,514000,HONDA シャドウカスタム400【マル得】,HONDA,EBL-NC45,2009,400,白,アメリカン/クルーザー,18660,3ヶ月,2011-02,-,-,神戸伊川谷店,0120-37-8190,"['サイドバッグ＆バックレスト装備！', '2009年モデル']"
50,2100005512213,2100000,Harley-Davidson ＦＬＳＢ１７５０スポーツグライド■ワンオーナー車■エンジンガード,Harley-Davidson,2BL-STJ,2018,1750,シャンパンゴールド,アメリカン/クルーザー,10941,3,2019-08,2024-08-29,-,Beat&C 世田谷店,03-6432-3480,[]
51,2100005510455,298000,HONDA クロスカブ110,HONDA,2BJ-JA45,2018,110,緑,ネイキッド,4292,1,-,-,-,広島店,0120-37-8190,['シートカスタム・リアボックス装備']
52,2100005271011,1100000,KAWASAKI ZRX1100,KAWASAKI,ZRT10C,2000,1100,エボニー/キャンディライトニングブルー,ネイキッド,7034,1ヶ月,2001-05,-,-,つくば絶版車館,029-721-8190,"['C4', 'OVERスリップオンサイレンサー装備']"
53,2100006298819,178000,SUZUKI アドレス１２５,SUZUKI,2BJ-DT11A,2019,125,ホワイト,スクーター/ビッグスクーター,10609,3ヶ月,-,-,2023-11-08,八王子堀之内店,0120-37-8190,"['フルノーマル！', 'インジェクションモデル！', 'フロントタイヤ新品交換サービス！']"
54,2100005902465,152000,YAMAHA 【スピード納車】ＪＯＧ,YAMAHA,2BH-AY01,2021,50,マットシルバー,スクーター/ビッグスクーター,1775,3,-,-,-,八王子堀之内店,0120-37-8190,"['フルノーマル！', 'インジェクションモデル！', 'ＡＹ０１モデル!']"
55,2100005652803,298000,KAWASAKI NINJA250R,KAWASAKI,JBK-EX250K,2012,250,緑,スポーツ/ツアラー,9132,3ヶ月,-,-,-,りんくうシークル店,0120-37-8190,"['フェンダーレス', 'カワサキグリーン一色でシンプルなカッコよさを実現！レプリカブームに火をつけたシングルスポーツ!']"
56,2100006193459,148000,HONDA ジョルノ,HONDA,JBH-AF77,2018,50,黒,スクーター/ビッグスクーター,7290,3ヶ月,-,-,2023-10-22,りんくうシークル店,0120-37-8190,"['2018年モデル', 'ノーマル']"
57,2100006154948,328000,HONDA ジャイロＸ,HONDA,JBH-TD02,2017,50,白,スクーター/ビッグスクーター,372,3ヶ月,-,-,2023-10-15,一宮店,0120-37-8190,['キレイなジャイロＸです☆彡']
58,2100005852913,1798000,Harley-Davidson ☆ XL1200X フォーティエイト 2018年モデル S&Sエアクリ・ケラーマンLEDミニウィンカー・ショートフェンダー,Harley-Davidson,LC3,2018,1200,レッドアイアンデニム,アメリカン/クルーザー,9317,5,2018-03,2025-03-25,2023-08-27,盛岡店,0120-37-8190,[]
59,2100005857758,99000,YAMAHA JOG（ジョグ）SA55J型／ナックルガード／インジェクションモデル,YAMAHA,JBH-SA55J,2015,50,ブルー,スクーター/ビッグスクーター,15388,3ヶ月,-,-,2023-08-27,上尾店,0120-37-8190,[]
60,2100005738804,1048000,KAWASAKI NINJA1000【エンジンガード・フォグランプ他】,KAWASAKI,2BL-ZXT00W,2018,1000,シルバー,スポーツ/ツアラー,13293,3,2018-07,-,2023-08-06,福岡店,0120-37-8190,[]
61,2100005987523,398000,HONDA モンキー,HONDA,BA-AB27,2001,50,青赤白,ネイキッド,距離疑義車,3ヶ月,-,-,2023-09-25,小牧店,0120-37-8190,"['ＡＢ２７', '２００１年モデル']"
62,2100005939737,968000,HONDA ＣＢ１３００スーパーボルドール,HONDA,EBL-SC54,2008,1300,ホワイト/レッド,スポーツ/ツアラー,15327,3ヶ月,2008-05,2025-03-08,-,八王子堀之内店,0120-37-8190,"['ＪＭＣＡ認証ヨシムラマフラー！', 'アクティブ製サブフレーム！', 'エンジンスライダー＆フェンダーレスキット!']"
63,2100005026208,508000,YAMAHA 【11月限定プライス】【マル得】ＹＺＦ－Ｒ３■２０２１年モデル・ＲＨ１３Ｊ型・ヘルメットホルダー装備・ワンオーナー・車検残あり■,YAMAHA,2BL-RH13J,2021,320,マットブラック,スポーツ/ツアラー,4374,7,2021-05,2024-05-20,-,柏店,0120-37-8190,[]
64,2100005871778,1138000,HONDA CB1300スーパーボルドール,HONDA,EBL-SC54,2014,1300,赤/白,スポーツ/ツアラー,13936,1,2015-10,2024-10-01,-,伊丹店,0120-37-8190,['2014年モデル！ホンダ純正リアボックス・エンジンガード装備！メインキー2本あり!']
65,2100004312531,448000,KAWASAKI エストレヤ インジェクションモデル 純正エンジンガード・サドルバッグサポート装備,KAWASAKI,BJ250A,2007,250,パールクリスタルホワイト／メタリックファントムシルバー,ネイキッド,14455,3ヶ月,-,-,-,盛岡店,0120-37-8190,[]
66,2100005430791,128000,HONDA ダンク,HONDA,JBH-AF74,2014,50,ブラック,スクーター/ビッグスクーター,9007,3ヶ月,-,-,-,岡崎店,0120-37-8190,['２０１４年モデル']
67,2100006032420,348000,HONDA クロスカブ110,HONDA,2BJ-JA45,2021,110,緑,ネイキッド,5501,3ヶ月,-,-,2023-09-24,前橋インター店,0120-37-8190,"['2021年ﾓﾃﾞﾙ', 'ｸﾞﾘｯﾌﾟﾋｰﾀｰ', 'ﾀｹｶﾞﾜ製ﾘｱｻｽ', 'ﾊﾞｯｸｻﾎﾟｰﾄｽﾃｰ装備']"
68,2100006168617,478000,HONDA レブル２５０,HONDA,2BK-MC49,2017,250,マットアーマードシルバーメタリック,アメリカン/クルーザー,9689,3,-,-,-,HUNT 木更津店,0120-37-8190,"['２０１７年モデル', 'バックレスト']"
69,2100005682176,1350000,HONDA CB400 SUPER BOL D'OR HYPER VTEC Revo ABS E Package,HONDA,2BL-NC42,2019,400,青,スポーツ/ツアラー,1564,5,2020-08,-,-,名古屋みなと店,0120-37-8190,[]
70,2100005568524,698000,Ducati 【マル得】スクランブラーSixty2,Ducati,EBL-KA00,-,400,オレンジ,ネイキッド,17562,3,2020-09,-,-,寝屋川店,0120-37-8190,[]
71,2100003816986,598000,HONDA HORNET S,HONDA,BC-PC34,2000,600,フォースシルバーメタリック,ネイキッド,18044,1ヶ月,2000-07,2024-06-01,-,つくば絶版車館,029-721-8190,['フルノーマル']
72,2100006059137,898000,Harley-Davidson XL883L,Harley-Davidson,CMM,2011,883,ビビットブラック,アメリカン/クルーザー,28662,3ヶ月,2010-09,2025-03-29,-,Beat&C 京都八幡店,0120-37-8190,['スーパーロー■フロントタイヤ＆バッテリー交換■メーター＆コイル移設■カスタムシート■シーシーバー■']
73,2100005261012,258000,YAMAHA シグナスX,YAMAHA,2BJ-SED8J,2019,125,赤,スクーター/ビッグスクーター,1609,1,-,-,2023-05-14,名古屋守山店,0120-37-8190,"['２０１９年モデル', 'フルノーマル']"
74,2100005596848,1000000,HONDA CB400 SUPER BOL D'OR,HONDA,2BL-NC42,2018,400,赤/白,スポーツ/ツアラー,13767,3,2018-10,-,-,名古屋みなと店,0120-37-8190,['リアボックス装備']
75,2100005594134,2550000,Harley-Davidson ＦＬＳＳ１８００ソフテイルスリムＳ■走行１６４５ｋｍ！ワンオーナー■デタッチャブルバックレスト,Harley-Davidson,JS9,2017,1800,オリーブゴールドデニム,アメリカン/クルーザー,1645,3,2017-09,2024-09-19,-,Beat&C 世田谷店,03-6432-3480,[]
76,2100005409711,408000,HONDA ＰＣＸ１６０,HONDA,2BK-KF47,2021,160,ワインレッド,スクーター/ビッグスクーター,1512,7,-,-,-,練馬店,0120-37-8190,['フルノーマル／キーレスエントリー']
77,2100006196344,638000,KAWASAKI W650,KAWASAKI,BC-EJ650A,2001,650,-,ネイキッド,28482,3ヶ月,2002-04,2024-03-07,2023-10-30,浜松店,0120-37-8190,['☆エンジンガード装備☆']
78,2100006234725,788000,YAMAHA SR400 Final Edition,YAMAHA,2BL-RH16J,2021,400,グレー,ネイキッド,11862,3,2021-10,2024-10-18,2023-10-29,福岡店,0120-37-8190,['【サドルバック装備☆】']
79,2100005577847,258000,KAWASAKI Ｚ１２５ＰＲＯ,KAWASAKI,2BJ-BR125H,2016,125,ガンメタ,ネイキッド,13915,3ヶ月,-,-,-,相模大野店,0120-37-8190,"['２０１６年モデル', 'フルノーマル車両']"
80,2100004853560,1568000,SUZUKI ハヤブサ,SUZUKI,EBL-GX72B,2016,1300,レッド／シルバー,スポーツ/ツアラー,2200,3,2018-06,-,-,相模大野店,0120-37-8190,"['２０１６年モデル', '国内仕様', 'ワンオーナー', 'ノーマル']"
81,2100005473392,1498000,Harley-Davidson XL1200X,Harley-Davidson,LC3,2016,1200,ビレットシルバー,アメリカン/クルーザー,28422,1,2015-12,2024-12-23,-,Beat&C 京都八幡店,0120-37-8190,['フォーティーエイト■前後タイヤ・バッテリー新品■マフラー■エアクリーナー■ソロシート■サイドバックサポート■USBポート']
82,2100005857468,998000,SUZUKI GSX-S1000 ABS,SUZUKI,2BL-GT79B,2019,1000,マッドブラック,ネイキッド,18052,3,2019-06,2024-06-30,-,金沢店,0120-37-8190,['ヨシムラスリップオンマフラー／Rキャリア／エンジンガード／MRAスクリーン／クイックシフター／防犯アラーム／グリップヒーター']
83,2100005604116,568000,KAWASAKI Ninja 400【マルチバー・グリップヒーター装備☆】,KAWASAKI,2BL-EX400G,2021,400,黒,スポーツ/ツアラー,12326,3,2021-09,2024-09-16,-,小倉店,0120-37-8190,[]
84,2100006145076,1548000,HONDA CB1300 SUPER FOUR,HONDA,SC40,2019,1300,黒,ネイキッド,13469,3,2020-01,2025-01-08,2023-10-14,豊橋店,0120-37-8190,['2019年式／エンジンスライダー／アールズギア製マフラー装備']
85,2100005668538,1468000,BMW 【マル得】R nine T,BMW,EBL-R12JB,2018,1170,グレー,ネイキッド,242,5,2018-12,-,-,大阪東住吉店,0120-37-8190,"['ピュア', '2018年モデル']"
86,2100005965859,1298000,HONDA CB1300SF！2014年モデル！ヨシムラマフラー装備!,HONDA,EBL-SC54,2014,1300,黒,ネイキッド,22639,1,2014-07,2025-07-08,2023-09-14,姫路店,0120-37-8190,[]
87,2100005797054,168000,YAMAHA Vino,YAMAHA,2BH-AY02,2018,50,銀,スクーター/ビッグスクーター,715,1,-,-,2023-08-17,草加店,0120-37-8190,['2018年モデル/フルノーマル']
88,2100005254687,387000,HONDA 【スピード納車】ＶＴＲ２５０Ｆ,HONDA,JBK-MC33,2013,250,ホワイト,スポーツ/ツアラー,27137,1,-,-,-,市川店,0120-37-8190,"['モリワキマフラー装備', '', '【マル得】']"
89,2100005425780,438000,HONDA モンキー125,HONDA,2BJ-JB02,2019,125,黒,ネイキッド,56,1,-,-,-,横浜上郷店,0120-37-8190,"['ABS', '2019年モデル', 'ノーマル']"
90,2100006261677,128000,YAMAHA JOG ☆通勤や通学等の日常の移動手段に便利な原付☆,YAMAHA,JBH-SA36J,2013,50,-,スクーター/ビッグスクーター,2289,3ヶ月,-,-,2023-11-03,浜松店 第2ショールーム,0120-37-8190,[]
91,2100005916080,378000,HONDA CBR400R 2013年モデル ノーマル車輛,HONDA,2BL-NC56,2013,400,トリコロール,スポーツ/ツアラー,9386,1,2018-08,2025-04-11,2023-09-06,盛岡店,0120-37-8190,[]
92,2100006141160,1000000,HONDA CB400 SUPER FOUR HYPER VTEC Revo,HONDA,2BL-NC42,2018,400,赤白,ネイキッド,9731,5,2018-10,-,-,インターパーク宇都宮店,0120-37-8190,"['NC42', '２０１８年モデル']"
93,2100004773967,2880000,HONDA NSR250R SE,HONDA,MC28,1996,250,ヘレスブルーメタリック/ロスホワイト,スポーツ/ツアラー,5248,1ヶ月,-,-,-,つくば絶版車館,029-721-8190,"['MC28', 'レプソル仕様']"
94,2100006091809,588000,KAWASAKI 【マル得】ＮＩＮＪＡ２５０ＡＢＳ,KAWASAKI,2BK-EX250P,2022,250,赤,スポーツ/ツアラー,8298,5,-,-,-,平塚第2ショールーム,0120-37-8190,"['２０２２年モデル', 'エンジンスライダー', 'アクセサリーバー', 'ＵＳＢ装備!']"
95,2100004705555,650000,SUZUKI ＳＶ６５０Ｘ,SUZUKI,2BL-VP55B,2018,650,グレーＭ,ネイキッド,6305,5,2018-11,-,-,荒川沖店,0120-37-8190,"['ＷＲ’Ｓマフラー装備', '☆ラジエターカバー・リアフェンダーレス他カスタム多数！！★☆', '【マル得車輌】']"
96,2100004384439,658000,HONDA GB350S【マル得車両】 ワンオーナー／2021年モデル／グラブバー付き,HONDA,2BL-NC59,2021,350,ブラック,ネイキッド,5528,5,2022-01,2025-01-18,-,ラパークいわき店,0120-37-8190,[]
97,2100006259216,260000,YAMAHA エヌマックス125,YAMAHA,2BJ-SED6J,2019,125,白,スクーター/ビッグスクーター,3415,1,-,-,2023-11-02,りんくうシークル店,0120-37-8190,"['ABS', '2019年モデル', 'ノーマル']"
98,2100004751606,488000,HONDA 【マル得】CBR400R ABS,HONDA,EBL-NC47,2013,400,白赤青,スポーツ/ツアラー,5051,1,2013-12,-,-,伊丹店,0120-37-8190,['2013年モデル！スマホホルダー・クランプバー・USBソケット装備!']
99,2100005806718,458000,YAMAHA 【11月限定プライス】【マル得】ＭＴ－２５,YAMAHA,2BK-RG43J,2020,250,グレー,ネイキッド,6531,5,-,-,2023-09-01,柏店,0120-37-8190,"['ＲＧ４３Ｊ型', '２０２０年式☆★フルノーマル★☆']"
100,2100006211566,628000,BMW G310GS,BMW,2BL-G31AA,2021,310,銀,オフロード/モタード,1364,7,2022-10,2025-10-30,2023-10-25,広島店,0120-37-8190,"['低走行', 'BMW中型バイク']"
101,2100006172485,598000,HONDA CBR250RR,HONDA,2BK-MC51,2019,250,白,スポーツ/ツアラー,6509,5,-,-,-,寝屋川店,0120-37-8190,['2019年モデル']
102,2100005627276,98000,HONDA スペイシー１００☆★リアライズフルブーストマフラー装備☆★,HONDA,BC-JF13,2006,100,ブラック,スクーター/ビッグスクーター,5658,3ヶ月,-,-,2023-07-16,柏店,0120-37-8190,[]
103,2100004433359,498000,YAMAHA SEROW 250,YAMAHA,JBK-DG17J,2016,250,ホワイト／グリーン,オフロード/モタード,9913,3,-,-,-,上尾店,0120-37-8190,['純正オプションリアキャリア＆パフォーマンスダンパー／ローシート／ショートレバー']
104,2100006002928,1650000,Harley-Davidson ＸＬ１２００Ｖセブンティツー■カスタムサイレンサー■Ｋ＆Ｈ製ロングシート,Harley-Davidson,LF3,2014,1200,ボルケニックオレンジフレーク,アメリカン/クルーザー,7931,1,2014-07,-,-,Beat&C 世田谷店,03-6432-3480,[]
105,2100004932760,1598000,KAWASAKI Z900RS ABS ,KAWASAKI,2BL-ZR900C,2019,950,黒,ネイキッド,2353,5,2020-04,-,-,ラパークいわき店,0120-37-8190,['ワンオーナー／センタースタンド付き／DAYTONA製USBポート／グリップヒーター装備']
106,2100004009066,598000,HONDA レブル２５０ABS,HONDA,2BK-MC49,2019,250,銀,アメリカン/クルーザー,2246,5,-,-,-,堺美原店,0120-37-8190,['2019年モデル／モリワキ製マフラー／バックサポート']
107,2100005926980,148000,YAMAHA ジョグ,YAMAHA,2BH-AY01,2021,50,茶色,スクーター/ビッグスクーター,38,3,-,-,2023-09-08,盛岡店,0120-37-8190,"['AY01型', '2021年モデル', 'ワンオーナー']"
108,2100005936606,598000,HONDA NC700X 2012年モデルスペアキーあり,HONDA,EBL-RC63,2012,700,銀,ネイキッド,10723,3ヶ月,2013-09,2024-08-18,-,伊丹店,0120-37-8190,[]
