,id,cost,model_number,model_year,color,mileage,guarantee_period,store_id
133,2100006148480,88000,JBH-AF67,2011.0,青,6281.0,3,72
134,2100005876872,1598000,JR5,2013.0,青,6291.0,1,5
135,2100005595094,500000,2BK-RG43J,2021.0,黒,16221.0,3,17
137,2100006149203,764000,EBL-NC42,2011.0,白,34442.0,3,54
138,2100006264999,598000,BC-RH01J,2007.0,青,15302.0,3,11
139,2100006030938,1788000,TA8,2011.0,黒,28793.0,3,67
140,2100006134285,968000,EBL-RN46J,2018.0,赤,8103.0,5,52
141,2100005937795,980000,0K11,2020.0,赤,9449.0,5,10
142,2100006176971,1100000,EBL-SC63,2011.0,赤,3892.0,3,5
145,2100005485074,176000,BD-CF11A,2018.0,白,7123.0,3,64
146,2100006133820,498000,2BL-DU11A,2018.0,黒,9143.0,5,73
147,2100006192681,348000,8BJ-SEJ4J,2022.0,赤,3348.0,1,37
148,2100006278972,1458000,EBL-ZRT20D,2016.0,緑,35188.0,3,18
150,2100005494618,1378000,VP27N,2011.0,青,17344.0,3,61
151,2100005391993,1158000,GT78A,2009.0,青,11038.0,3,5
152,2100006021394,238000,2BJ-JK03,2021.0,青,7698.0,3,49
154,2100005733694,498000,2BL-RH13J,2019.0,黒,18642.0,3,37
155,2100006244496,1948000,JS9,2016.0,青,15398.0,3,77
156,2100005212489,330000,2BJ-JK05,2021.0,銀,6839.0,3,33
157,2100004947726,548000,2BK-RG43J,2019.0,青,4011.0,5,60
158,2100005194006,300000,2BJ-JK05,2021.0,銀,11224.0,3,17
159,2100006053333,248000,EBJ-JF28,2010.0,白,2308.0,3,4
160,2100005489133,1298000,ZXT40E,2013.0,黒,9680.0,1,14
163,2100005449465,388000,2BK-ED22B,2021.0,黒,2315.0,7,26
164,2100006110814,978000,EBL-NC42,2014.0,青,6724.0,1,30
165,2100006015508,638000,2BK-MC51,2020.0,黒,5028.0,5,1
166,2100005916233,1068000,2BL-RN51J,2018.0,銀,4094.0,5,66
167,2100005865272,600000,EBL-RC62,2012.0,黒,12830.0,3,61
168,2100006251647,66000,BA-AF61,2004.0,銀,4388.0,3,7
169,2100006126471,428000,2BK-DN11A,2020.0,青,368.0,5,55
170,2100004437173,378000,8BJ-JA59,2022.0,白,251.0,3,14
171,2100006216028,438000,JBH-AB27,2011.0,青,4916.0,3,55
173,2100006066906,108000,JBH-CA4AA,2018.0,ピンク,4759.0,1,18
176,2100004238329,1698000,EBL-NC42,2017.0,白,490.0,3,1
177,2100004166837,478000,8BJ-JA58,2022.0,赤,248.0,3,26
178,2100005395342,978000,2BL-H4J765,2021.0,銀,12615.0,3,7
180,2100006187489,208000,EBJ-CE47A,2021.0,黒,1793.0,3,46
181,2100006036831,208000,JBH-AF58,2011.0,茶,7271.0,3,13
182,2100006218787,1068000,8BL-RM39J,2022.0,青,1830.0,7,50
183,2100006030693,328000,2BK-RG43J,2018.0,銀,18476.0,3,27
185,2100005948203,178000,2BH-AY02,2018.0,茶,1118.0,1,4
186,2100006249613,1180000,8BL-SC83,2021.0,銀,754.0,7,26
187,2100005646505,777000,RP17J,2007.0,黒,31453.0,3,50
188,2100005365093,528000,2BK-MD44,2017.0,赤,5556.0,3,27
189,2100004145832,628000,2BL-EX400G,2019.0,白,6049.0,5,36
190,2100006036824,1168000,8BL-ER650M,2023.0,緑,3264.0,7,62
191,2100006226973,468000,2BK-MC52,2019.0,赤,151.0,5,2
192,2100006052954,1198000,2BL-NC42,2019.0,青,9986.0,5,32
194,2100005645928,498000,JBK-MC33,2013.0,黒,4809.0,1,57
195,2100005337816,498000,JUJ42,2020.0,黒,10963.0,3,81
197,2100005706421,188000,BA-AF58,2004.0,赤,9300.0,3,29
198,2100006280777,748000,BC-EJ400A,2008.0,茶,4722.0,3,3
199,2100005253932,2250000,2BL-ZXT02A,2020.0,緑,330.0,5,44
200,2100005910705,478000,2BL-DU11A,2017.0,銀,7502.0,3,37
201,2100004859593,598000,DS47,2016.0,黒,20703.0,1,82
202,2100005540896,828000,RN09,2002.0,赤,5186.0,3,6
205,2100006050592,1298000,8BL-SJ19J,2021.0,銀,5770.0,5,54
206,2100006202328,88000,JBH-AF67,2008.0,黒,9779.0,3,44
207,2100005772235,498000,EBL-RC70,2014.0,黒,15887.0,1,75
208,2100006188646,148000,EBJ-JF31,2011.0,青,11497.0,3,75
210,2100005974318,1298000,EBL-GX72B,2015.0,白,12271.0,1,75
211,2100005551359,728000,2BL-NC59,2022.0,銀,675.0,7,66
212,2100005006255,390500,BJHD1,2022.0,黒,0.0,7,79
214,2100006091724,778000,2BK-ZX250E,2022.0,緑,1944.0,7,32
215,2100003240378,468000,HD12,1997.0,白,5484.0,1,6
216,2100005428460,548000,2BJ-JB02,2022.0,青,446.0,3,36
217,2100005746847,2668000,2BL-ZR900C,2023.0,黄,8.0,7,25
219,2100005582452,1148000,2BL-RC95,2017.0,銀,20951.0,1,76
221,2100005090971,848000,EBL-KA00,2020.0,オレンジ,8536.0,5,14
222,2100006257847,398000,ED22B,2020.0,銀,1728.0,5,54
223,2100005764841,328000,GJ55D,2012.0,銀,10900.0,3,3
225,2100005667456,1000000,CT3,2013.0,黒,15569.0,1,22
227,2100006299502,348000,JBK-MC41,2016.0,白,17855.0,3,30
228,2100005572071,994000,2BL-VN09J,2020.0,青,7953.0,5,49
229,2100006016253,158000,2BH-AY01,2018.0,白,4249.0,1,21
231,2100006001679,3950000,EBL-TGL,2014.0,青,2906.0,1,22
233,2100004559158,658000,RC60,2011.0,白,31453.0,3,76
234,2100006253764,158000,JBH-AF74,2018.0,銀,5632.0,3,51
235,2100005323406,1098000,2BL-RN52J,2018.0,黒,17255.0,3,37
236,2100005197021,128000,EBJ-SE53J,2011.0,銀,9937.0,3,64
