,id,cost,model_number,model_year,color,mileage,guarantee_period,store_id
113,2100006061079,328000,8BJ-SEJ4J,2022.0,,3976.0,1.0,10
114,2100005513890,1248000,GN4,2012.0,黒,2921.0,0.25,77
115,2100006113648,468000,2BK-KF38,2020.0,黒,16873.0,3.0,29
116,2100005706735,758000,JBK-DG15J,2007.0,白,15318.0,0.25,30
117,2100006010015,2380000,LC3,2020.0,黒,612.0,5.0,71
118,2100006215779,378000,2BK-SG37J,2020.0,銀,578.0,5.0,54
119,2100005948555,315000,EBJ-SE44J,2018.0,黒,10166.0,0.25,59
120,2100005726405,1298000,ZR400C,2008.0,青,26471.0,0.25,70
121,2100006031881,848000,EBL-GT79A,2016.0,黒,14708.0,3.0,74
122,2100005798211,698000,ZR250B,2004.0,青,13525.0,0.25,17
123,2100005692182,286000,EBJ-JA07,2019.0,赤,7237.0,0.25,63
124,2100006213546,1388000,YDJ,2020.0,赤,17124.0,3.0,72
125,2100003912138,788000,2BL-NC59,2021.0,銀,1097.0,7.0,59
126,2100006155907,158000,JBH-AF79,2021.0,白,123.0,3.0,12
127,2100005740142,498000,2BK-MC49,2020.0,青,6246.0,5.0,39
128,2100006042573,1378000,EBL-883RN,2014.0,黒,6276.0,1.0,77
129,2100005940535,388000,2BJ-JK05,2021.0,白,4115.0,1.0,67
130,2100006266184,158000,EBJ-SE53J,2009.0,銀,2296.0,0.25,66
131,2100005845380,1498000,2BL-ZR900C,2018.0,黒,3701.0,5.0,68
132,2100005485319,578000,2BK-MC49,2020.0,茶,1080.0,5.0,13
133,2100006148480,88000,JBH-AF67,2011.0,青,6281.0,0.25,72
134,2100005876872,1598000,JR5,2013.0,青,6291.0,1.0,5
135,2100005595094,500000,2BK-RG43J,2021.0,黒,16221.0,3.0,17
136,2100006247329,218000,EBJ-JF56,2015.0,白,26762.0,0.25,45
137,2100006149203,764000,EBL-NC42,2011.0,白,34442.0,0.25,54
138,2100006264999,598000,BC-RH01J,2007.0,青,15302.0,0.25,11
139,2100006030938,1788000,TA8,2011.0,黒,28793.0,0.25,67
140,2100006134285,968000,EBL-RN46J,2018.0,赤,8103.0,5.0,52
141,2100005937795,980000,0K11,2020.0,赤,9449.0,5.0,10
142,2100006176971,1100000,EBL-SC63,2011.0,赤,3892.0,0.25,5
143,2100004974470,948000,4HM,1996.0,黒,20521.0,0.08333333333333333,6
144,2100005143424,828000,EBL-NC42,2014.0,白,21883.0,1.0,3
145,2100005485074,176000,BD-CF11A,2018.0,白,7123.0,0.25,64
146,2100006133820,498000,2BL-DU11A,2018.0,黒,9143.0,5.0,73
147,2100006192681,348000,8BJ-SEJ4J,2022.0,赤,3348.0,1.0,37
148,2100006278972,1458000,EBL-ZRT20D,2016.0,緑,35188.0,0.25,18
149,2100005540001,898000,EBL-RN46J,2016.0,,7896.0,3.0,10
150,2100005494618,1378000,VP27N,2011.0,青,17344.0,0.25,61
151,2100005391993,1158000,GT78A,2009.0,青,11038.0,0.25,5
152,2100006021394,238000,2BJ-JK03,2021.0,青,7698.0,0.25,49
153,2100006046564,1198000,2BL-KB01,2018.0,,4451.0,5.0,14
